type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,23218,Other,22-Aug,0,0,4/8/2023
Zip Code,23218,Other,22-Sep,0,0,4/8/2023
Zip Code,23218,Other,22-Oct,0,0,4/8/2023
Zip Code,23218,Other,22-Nov,0,0,4/8/2023
Zip Code,23218,Other,22-Dec,0,0,4/8/2023
Zip Code,23218,Other,23-Jan,0,0,4/8/2023
Zip Code,23218,Other,23-Feb,0,0,4/8/2023
Zip Code,23218,Other,23-Mar,0,0,4/8/2023
Zip Code,23218,Other,23-Apr,0,0,4/8/2023
Zip Code,23219,Other,20-Jan,33,39.5,4/8/2023
Zip Code,23219,Other,20-Feb,29,41,4/8/2023
Zip Code,23219,Other,20-Mar,18,26.5,4/8/2023
Zip Code,23219,Other,20-Apr,8,25.75,4/8/2023
Zip Code,23219,Other,20-May,1,36.25,4/8/2023
Zip Code,23219,Other,20-Jun,1,26.75,4/8/2023
Zip Code,23219,Other,20-Jul,11,30,4/8/2023
Zip Code,23219,Other,20-Aug,22,24.75,4/8/2023
Zip Code,23219,Other,20-Sep,29,30.5,4/8/2023
Zip Code,23219,Other,20-Oct,12,33.75,4/8/2023
Zip Code,23219,Other,20-Nov,4,27.75,4/8/2023
Zip Code,23219,Other,20-Dec,3,22.25,4/8/2023
Zip Code,23219,Other,21-Jan,16,39.5,4/8/2023
Zip Code,23219,Other,21-Feb,11,39.75,4/8/2023
Zip Code,23219,Other,21-Mar,6,26.5,4/8/2023
Zip Code,23219,Other,21-Apr,9,25.75,4/8/2023
Zip Code,23219,Other,21-May,1,36.25,4/8/2023
Zip Code,23219,Other,21-Jun,4,26.75,4/8/2023
Zip Code,23219,Other,21-Jul,4,30,4/8/2023
Zip Code,23219,Other,21-Aug,2,24.75,4/8/2023
Zip Code,23219,Other,21-Sep,6,30.5,4/8/2023
Zip Code,23219,Other,21-Oct,3,33.75,4/8/2023
Zip Code,23219,Other,21-Nov,6,27.75,4/8/2023
Zip Code,23219,Other,21-Dec,5,22.25,4/8/2023
Zip Code,23219,Other,22-Jan,8,39.5,4/8/2023
Zip Code,23219,Other,22-Feb,6,39.75,4/8/2023
Zip Code,23219,Other,22-Mar,35,26.5,4/8/2023
Zip Code,23219,Other,22-Apr,16,25.75,4/8/2023
Zip Code,23219,Other,22-May,9,36.25,4/8/2023
Zip Code,23219,Other,22-Jun,33,26.75,4/8/2023
Zip Code,23219,Other,22-Jul,57,30,4/8/2023
Zip Code,23219,Other,22-Aug,62,24.75,4/8/2023
Zip Code,23219,Other,22-Sep,89,30.5,4/8/2023
Zip Code,23219,Other,22-Oct,71,33.75,4/8/2023
Zip Code,23219,Other,22-Nov,30,27.75,4/8/2023
Zip Code,23219,Other,22-Dec,61,22.25,4/8/2023
Zip Code,23219,Other,23-Jan,69,39.5,4/8/2023
Zip Code,23219,Other,23-Feb,31,39.75,4/8/2023
Zip Code,23219,Other,23-Mar,41,26.5,4/8/2023
Zip Code,23219,Other,23-Apr,3,2,4/8/2023
Zip Code,23220,White,20-Jan,91,146.5,4/8/2023
Zip Code,23220,White,20-Feb,48,128.5,4/8/2023
Zip Code,23220,White,20-Mar,60,119.75,4/8/2023
Zip Code,23220,White,20-Apr,18,93.5,4/8/2023
Zip Code,23220,White,20-May,33,116.5,4/8/2023
Zip Code,23220,White,20-Jun,4,123.5,4/8/2023
Zip Code,23220,White,20-Jul,27,105.25,4/8/2023
Zip Code,23220,White,20-Aug,26,84.25,4/8/2023
Zip Code,23220,White,20-Sep,34,93.25,4/8/2023
Zip Code,23220,White,20-Oct,38,104.5,4/8/2023
Zip Code,23220,White,20-Nov,19,111,4/8/2023
Zip Code,23220,White,20-Dec,10,78.75,4/8/2023
Zip Code,23220,White,21-Jan,15,146.5,4/8/2023
Zip Code,23220,White,21-Feb,2,128.25,4/8/2023
Zip Code,23220,White,21-Mar,32,119.75,4/8/2023
Zip Code,23220,White,21-Apr,6,93.5,4/8/2023
Zip Code,23220,White,21-May,24,116.5,4/8/2023
Zip Code,23220,White,21-Jun,10,123.5,4/8/2023
Zip Code,23220,White,21-Jul,14,105.25,4/8/2023
Zip Code,23220,White,21-Aug,16,84.25,4/8/2023
Zip Code,23220,White,21-Sep,17,93.25,4/8/2023
Zip Code,23220,White,21-Oct,28,104.5,4/8/2023
Zip Code,23220,White,21-Nov,14,111,4/8/2023
Zip Code,23220,White,21-Dec,12,78.75,4/8/2023
Zip Code,23220,White,22-Jan,18,146.5,4/8/2023
Zip Code,23220,White,22-Feb,10,128.25,4/8/2023
Zip Code,23220,White,22-Mar,36,119.75,4/8/2023
Zip Code,23220,White,22-Apr,23,93.5,4/8/2023
Zip Code,23220,White,22-May,29,116.5,4/8/2023
Zip Code,23220,White,22-Jun,42,123.5,4/8/2023
Zip Code,23220,White,22-Jul,91,105.25,4/8/2023
Zip Code,23220,White,22-Aug,64,84.25,4/8/2023
Zip Code,23220,White,22-Sep,95,93.25,4/8/2023
Zip Code,23220,White,22-Oct,102,104.5,4/8/2023
Zip Code,23220,White,22-Nov,83,111,4/8/2023
Zip Code,23220,White,22-Dec,77,78.75,4/8/2023
Zip Code,23220,White,23-Jan,78,146.5,4/8/2023
Zip Code,23220,White,23-Feb,108,128.25,4/8/2023
Zip Code,23220,White,23-Mar,96,119.75,4/8/2023
Zip Code,23220,White,23-Apr,6,11.75,4/8/2023
Zip Code,23221,White,20-Jan,7,11,4/8/2023
Zip Code,23221,White,20-Feb,6,12.5,4/8/2023
Zip Code,23221,White,20-Mar,1,9.75,4/8/2023
Zip Code,23221,White,20-Apr,3,8.25,4/8/2023
Zip Code,23221,White,20-May,2,8,4/8/2023
Zip Code,23221,White,20-Jun,1,9,4/8/2023
Zip Code,23221,White,20-Jul,3,7.75,4/8/2023
Zip Code,23221,White,20-Aug,4,8.5,4/8/2023
Zip Code,23221,White,20-Sep,7,8.25,4/8/2023
Zip Code,23221,White,20-Oct,3,8.75,4/8/2023
Zip Code,23221,White,20-Nov,0,10.5,4/8/2023
Zip Code,23221,White,20-Dec,0,8.25,4/8/2023
Zip Code,23221,White,21-Jan,3,11,4/8/2023
Zip Code,23221,White,21-Feb,1,12.5,4/8/2023
Zip Code,23221,White,21-Mar,0,9.75,4/8/2023
Zip Code,23221,White,21-Apr,0,8.25,4/8/2023
Zip Code,23221,White,21-May,3,8,4/8/2023
Zip Code,23221,White,21-Jun,2,9,4/8/2023
Zip Code,23221,White,21-Jul,1,7.75,4/8/2023
Zip Code,23221,White,21-Aug,3,8.5,4/8/2023
Zip Code,23221,White,21-Sep,4,8.25,4/8/2023
Zip Code,23221,White,21-Oct,3,8.75,4/8/2023
Zip Code,23221,White,21-Nov,1,10.5,4/8/2023
Zip Code,23221,White,21-Dec,3,8.25,4/8/2023
Zip Code,23221,White,22-Jan,0,11,4/8/2023
Zip Code,23221,White,22-Feb,5,12.5,4/8/2023
Zip Code,23221,White,22-Mar,0,9.75,4/8/2023
Zip Code,23221,White,22-Apr,3,8.25,4/8/2023
Zip Code,23221,White,22-May,5,8,4/8/2023
Zip Code,23221,White,22-Jun,3,9,4/8/2023
Zip Code,23221,White,22-Jul,21,7.75,4/8/2023
Zip Code,23221,White,22-Aug,3,8.5,4/8/2023
Zip Code,23221,White,22-Sep,6,8.25,4/8/2023
Zip Code,23221,White,22-Oct,15,8.75,4/8/2023
Zip Code,23221,White,22-Nov,2,10.5,4/8/2023
Zip Code,23221,White,22-Dec,5,8.25,4/8/2023
Zip Code,23221,White,23-Jan,4,11,4/8/2023
